budget,boxoffice
1500000,6424420
2777000,26120538
3000000,19601463
4000000,22367121
4000000,18640313
4000000,102949900
5000000,60582764
5000000,35656504
5300000,38908963
6000000,56828752
6000000,24624917
6000000,19320481
6000000,32893421
6000000,21150265
6200000,20521134
7000000,91526100
8000000,36599361
8000000,7699452
8500000,114102821
9000000,155712077
9000000,122133739
9000000,64503067
10000000,44902237
10000000,41123770
10000000,16412504
10000000,10209813
11000000,39058886
11000000,7253825
13500000,90510445
14000000,50444358
14000000,69497587
15000000,15383580
15000000,17928765
16000000,71746590
16000000,32390945
17300000,20296746
18000000,76087556
20000000,255105930
20000000,246985576
20000000,140040941
20000000,179111180
20000000,110883070
20000000,74747725
20000000,72216294
20000000,48800575
20000000,33766787
20000000,9963194
20000000,7776413
21000000,57469467
21000000,95017038
25000000,95677760
26000000,150686650
27000000,228552591
30000000,21360215
30000000,30918726
31000000,48791187
37500000,122752517
38000000,15880032
39000000,12119295
40000000,195179299
40000000,133365452
40000000,131417147
40000000,53397076
42000000,89542717
45000000,32450241
45000000,7781418
45000000,9732621
49000000,116552537
50000000,86940113
50000000,44664690
55000000,948601694
59000000,32140970
60000000,76419755
65000000,145026114
75000000,326563265
75000000,161315435
79000000,459236036
80000000,429434163
87500000,126566773
90000000,370755699
99000000,191306508
100000000,364571656
100000000,119559110
100000000,26249469
110000000,253890701
129000000,519896648
138000000,165637189
150000000,431705346
160000000,1131761808
170000000,353284621
170000000,385900138
170000000,404852543
175000000,1128274794
183000000,1050693953
185000000,388464408
200000000,1072064691
200000000,758910100
200000000,252442974
260000000,1654645522
356000000,2797800564
