budget,ratings,trends,boxoffice
356000000,86,100,2797800564
260000000,59,99,1654645522
200000000,87,69,1072064691
175000000,71,73,1128274794
160000000,60,61,1131761808
183000000,87,55,1050693953
55000000,72,100,948601694
79000000,63,44,459236036
20000000,81,38,255105930
200000000,64,17,758910100
75000000,80,22,326563265
129000000,79,15,519896648
80000000,60,9,429434163
150000000,63,26,431705346
100000000,77,30,364571656
90000000,83,37,370755699
170000000,54,18,353284621
20000000,49,35,246985576
170000000,50,33,385900138
37500000,52,16,122752517
99000000,72,11,191306508
20000000,78,25,140040941
40000000,77,18,195179299
20000000,75,18,179111180
170000000,63,17,404852543
20000000,69,13,110883070
110000000,39,10,253890701
27000000,59,19,228552591
26000000,63,26,150686650
20000000,31,10,74747725
40000000,50,7,133365452
25000000,67,20,95677760
200000000,41,21,252442974
40000000,49,17,131417147
49000000,69,14,116552537
9000000,54,11,155712077
75000000,72,6,161315435
9000000,41,17,122133739
21000000,57,6,57469467
20000000,48,11,72216294
87500000,78,15,126566773
31000000,63,15,48791187
185000000,55,13,388464408
7000000,60,14,91526100
5000000,54,9,60582764
100000000,45,11,119559110
50000000,40,10,86940113
18000000,59,1,76087556
65000000,66,4,145026114
14000000,56,16,50444358
20000000,50,7,48800575
138000000,40,13,165637189
13500000,68,14,90510445
8000000,42,11,36599361
21000000,34,13,95017038
42000000,65,14,89542717
5000000,45,10,35656504
60000000,63,12,76419755
8500000,74,16,114102821
40000000,72,14,53397076
10000000,57,4,44902237
6000000,74,13,56828752
9000000,63,8,64503067
10000000,76,24,41123770
20000000,54,9,33766787
11000000,77,10,39058886
6000000,85,16,24624917
16000000,56,0,71746590
16000000,49,11,32390945
5300000,45,14,38908963
50000000,33,13,44664690
30000000,45,5,21360215
2777000,74,5,26120538
45000000,38,3,32450241
6200000,81,6,20521134
6000000,36,4,19320481
3000000,89,1,19601463
6000000,54,6,32893421
59000000,72,1,32140970
100000000,75,3,26249469
4000000,72,3,22367121
15000000,40,2,15383580
6000000,49,4,21150265
10000000,42,2,16412504
38000000,36,4,15880032
14000000,34,8,69497587
15000000,76,2,17928765
4000000,58,2,18640313
10000000,58,1,10209813
17300000,71,2,20296746
20000000,55,0,9963194
39000000,49,4,12119295
30000000,46,3,30918726
8000000,76,4,7699452
1500000,45,1,6424420
11000000,39,1,7253825
4000000,93,3,102949900
45000000,85,2,7781418
45000000,43,2,9732621
20000000,56,2,7776413
